index,name,full_name,birth,death,birth_city,birth_province,succession,reign_start,reign_end,cause,killer,dynasty,era
10,Trajan,CAESAR MARCVS VLPIVS NERVA TRAIANVS AVGVSTVS,0053-09-18T00:53:28+00:53,0117-08-07T00:53:28+00:53,Italica,Hispania Baetica,Birthright,0098-01-28T00:53:28+00:53,0117-08-07T00:53:28+00:53,Natural Causes,Disease,Nerva-Antonine,Principate
11,Hadrian,CAESAR PVBLIVS AELIVS TRAIANVS HADRIANVS AVGVSTVS,0076-01-24T00:53:28+00:53,0138-07-10T00:53:28+00:53,Italica,Hispania Baetica,Birthright,0117-08-11T00:53:28+00:53,0138-07-10T00:53:28+00:53,Natural Causes,Heart Failure,Nerva-Antonine,Principate
12,Antonius Pius,CAESAR TITVS AELIVS HADRIANVS ANTONINVS AVGVSTVS PIVS,0086-09-19T00:53:28+00:53,0161-03-07T00:53:28+00:53,Lanuvium,Italia,Birthright,0138-07-10T00:53:28+00:53,0161-03-07T00:53:28+00:53,Natural Causes,Disease,Nerva-Antonine,Principate
13,Marcus Aurelius,CAESAR MARCVS AVRELIVS ANTONINVS AVGVSTVS,0121-04-26T00:53:28+00:53,0180-03-17T00:53:28+00:53,Rome,Italia,Birthright,0161-03-07T00:53:28+00:53,0180-03-17T00:53:28+00:53,Natural Causes,Disease,Nerva-Antonine,Principate
14,Lucius Verus,CAESAR LVCIVS AVRELIVS VERVS AVGVSTVS,0130-12-15T00:53:28+00:53,0169-03-15T00:53:28+00:53,Rome,Italia,Birthright,0161-03-07T00:53:28+00:53,0169-03-15T00:53:28+00:53,Natural Causes,Disease,Nerva-Antonine,Principate
15,Commodus,CAESAR MARCVS AVRELIVS COMMODVS ANTONINVS AVGVSTVS,0161-08-31T00:53:28+00:53,0192-12-31T00:53:28+00:53,Lanuvium,Italia,Birthright,0177-01-01T00:53:28+00:53,0192-12-31T00:53:28+00:53,Assassination,Praetorian Guard,Nerva-Antonine,Principate
16,Pertinax,CAESAR PVBLIVS HELVIVS PERTINAX AVGVSTVS,0126-08-01T00:53:28+00:53,0193-03-28T00:53:28+00:53,Alba,Italia,Appointment by Praetorian Guard,0193-01-01T00:53:28+00:53,0193-03-28T00:53:28+00:53,Assassination,Praetorian Guard,Severan,Principate
17,Didius Julianus,CAESAR MARCVS DIDIVS SEVERVS IVLIANVS AVGVSTVS,0133-01-30T00:53:28+00:53,0193-07-01T00:53:28+00:53,Milan,Italia,Purchase,0193-03-28T00:53:28+00:53,0193-07-01T00:53:28+00:53,Execution,Senate,Severan,Principate
18,Septimus Severus,CAESAR LVCIVS SEPTIMIVS SEVERVS PERTINAX AVGVSTVS,0145-04-11T00:53:28+00:53,0211-02-04T00:53:28+00:53,Leptis Magna,Libya,Seized Power,0193-04-09T00:53:28+00:53,0211-02-04T00:53:28+00:53,Natural Causes,Disease,Severan,Principate
19,Caracalla,CAESAR MARCVS AVRELIVS SEVERVS ANTONINVS PIVS AVGVSTVS,0188-04-04T00:53:28+00:53,0217-04-08T00:53:28+00:53,Lugdunum,Gallia Lugdunensis,Birthright,0198-01-01T00:53:28+00:53,0217-04-08T00:53:28+00:53,Assassination,Other Emperor,Severan,Principate
20,Geta,CAESAR PVBLIVS SEPTIMIVS GETA AVGVSTUS,0189-03-07T00:53:28+00:53,0211-12-19T00:53:28+00:53,Rome,Italia,Birthright,0209-01-01T00:53:28+00:53,0211-12-26T00:53:28+00:53,Assassination,Other Emperor,Severan,Principate
21,Macrinus,MARCVS OPELLIVS SEVERVS MACRINVS AVGVSTVS PIVS FELIX,0165-01-01T00:53:28+00:53,0218-06-08T00:53:28+00:53,Iol Caesarea,Mauretania,Seized Power,0217-04-11T00:53:28+00:53,0218-06-08T00:53:28+00:53,Execution,Other Emperor,Severan,Principate
22,Elagabalus,MARCVS AVRELIVS ANTONINVS AVGVSTVS,0203-01-01T00:53:28+00:53,0222-03-11T00:53:28+00:53,Emesa,Syria,Birthright,0218-06-08T00:53:28+00:53,0222-03-11T00:53:28+00:53,Assassination,Praetorian Guard,Severan,Principate
23,Severus Alexander,CAESAR MARCVS AVRELIVS SEVERVS ALEXANDER AVGVSTVS,0208-10-01T00:53:28+00:53,0235-03-18T00:53:28+00:53,Arca Caesarea,Syria,Birthright,0222-03-13T00:53:28+00:53,0235-03-18T00:53:28+00:53,Assassination,Own Army,Severan,Principate
24,Maximinus I,CAESAR GAIVS IVLIVS VERVS MAXIMINVS AVGVSTVS,0173-01-01T00:53:28+00:53,0238-06-15T00:53:28+00:53,,Thrace,Appointment by Praetorian Guard,0235-03-20T00:53:28+00:53,0238-06-15T00:53:28+00:53,Assassination,Praetorian Guard,Gordian,Principate
25,Gordian I,CAESAR MARCVS ANTONIVS GORDIANVS SEMPRONIANVS AFRICANVS AVGVSTVS,0159-01-01T00:53:28+00:53,0238-04-12T00:53:28+00:53,,Phrygia,Appointment by Senate,0238-03-22T00:53:28+00:53,0238-04-12T00:53:28+00:53,Suicide,Other Emperor,Gordian,Principate
26,Gordian II,CAESAR MARCVS ANTONIVS GORDIANVS SEMPRONIANVS ROMANVS AFRICANVS AVGVSTVS,0192-01-01T00:53:28+00:53,0238-04-12T00:53:28+00:53,,,Appointment by Senate,0238-03-22T00:53:28+00:53,0238-04-12T00:53:28+00:53,Execution,Other Emperor,Gordian,Principate
27,Balbinus,CAESAR DECIMVS CAELIVS CALVINVS BALBINVS PIVS AVGVSTVS,0178-01-01T00:53:28+00:53,0238-07-29T00:53:28+00:53,,,Appointment by Senate,0238-04-22T00:53:28+00:53,0238-07-29T00:53:28+00:53,Assassination,Praetorian Guard,Gordian,Principate
28,Gordian III,CAESAR MARCVS ANTONIVS GORDIANVS AVGVSTVS,0225-01-20T00:53:28+00:53,0244-02-11T00:53:28+00:53,Rome,Italia,Appointment by Senate,0238-04-22T00:53:28+00:53,0244-02-11T00:53:28+00:53,Died in Battle,Opposing Army,Gordian,Principate
